fdc_id,food_name,calories,protein,carbs,fat,source
320177,"MILK, 2% (WAVE 22E)",,,,,USDA
320178,"MILK, 2% (WAVE 22E)",,,,,USDA
320179,"MILK, 2% (WAVE 22E)",,,,,USDA
320180,"MILK, 2% (WAVE 22E)",,,,,USDA
320181,"MILK, 2% ",,,,1.97,USDA
320182,"MILK, 2% ",,,,,USDA
320183,"MILK, 2% ",,,,,USDA
320184,"MILK, 2% (WAVE 22E)",,,,,USDA
320185,"MILK, 2% (WAVE 22E)",,,,,USDA
320186,"MILK, 2% (WAVE 22E)",,,,,USDA
320187,"MILK, 2% ",,,,1.96,USDA
320188,"MILK, 2% ",,,,,USDA
320189,"MILK, 2% ",,,,,USDA
320190,"MILK, 2% (WAVE 22E)",,,,,USDA
320191,"MILK, 2% (WAVE 22E)",,,,,USDA
320192,"MILK, 2% (WAVE 22E)",,,,,USDA
320193,"MILK, 2% ",,,,1.87,USDA
320194,"MILK, 2% ",,,,,USDA
320195,"MILK, 2% ",,,,,USDA
320196,"MILK, 2% (WAVE 22E)",,,,,USDA
320197,"MILK, 2% (WAVE 22E)",,,,,USDA
320198,"MILK, 2% (WAVE 22E)",,,,,USDA
320199,"MILK, 2% ",,,,1.92,USDA
320200,"MILK, 2% ",,,,,USDA
320201,"MILK, 2% ",,,,,USDA
320202,"MILK, 2% (WAVE 22E)",,,,,USDA
320203,"MILK, 2% (WAVE 22E)",,,,,USDA
320204,"MILK, 2% (WAVE 22E)",,,,,USDA
320205,"MILK, 2% ",,,,1.81,USDA
320206,"MILK, 2% ",,,,,USDA
320207,"MILK, 2% ",,,,,USDA
320208,"MILK, 2% (WAVE 22E)",,,,,USDA
320209,"MILK, 2% (WAVE 22E)",,,,,USDA
320210,"MILK, 2% (WAVE 22E)",,,,,USDA
320211,"MILK, 2% (WAVE 22E)",,,,,USDA
320212,"MILK, 2% ",,,,,USDA
320213,"MILK, 2% ",,,,,USDA
320214,"MILK, 2% ",,,,1.68,USDA
320215,"MILK, 2% ",,,,,USDA
320216,"MILK, 2% ",,,,,USDA
320217,"MILK, 2% ",,,,,USDA
320218,"MILK, 2% ",,,,,USDA
320219,"MILK, 2% ",,,,,USDA
320220,"MILK, 2% ",,,,,USDA
320221,"MILK, 2% ",,,,,USDA
320222,"Milk, 2%",,,,,USDA
320223,"Milk, 2%",,,,,USDA
320224,"Milk, 2%",,,,,USDA
320225,"Milk, 2%",,,,,USDA
320226,"Milk, 2%",,,,,USDA
320227,"Milk, 2%",,,,,USDA
320228,"MILK, 2% (WAVE 22E)",,,,,USDA
320229,"MILK, 2% (WAVE 22E)",,,,,USDA
320230,"MILK, 2% (WAVE 22E)",,,,,USDA
320231,"MILK, 2% (WAVE 22E)",,,,,USDA
320232,"MILK, 2% ",,,,,USDA
320233,"MILK, 2% ",,,,,USDA
320234,"MILK, 2% ",,,,1.87,USDA
320235,"MILK, 2% ",,,,,USDA
320236,"MILK, 2% ",,,,,USDA
320237,"MILK, 2% ",,,,,USDA
320238,"MILK, 2% ",,,,,USDA
320239,"MILK, 2% ",,,,,USDA
320240,"MILK, 2% ",,,,,USDA
320241,"MILK, 2% ",,,,,USDA
320242,"MILK, 2% ",,,,,USDA
320243,"MILK, 2% ",,,,,USDA
320244,"MILK, 2% ",,,,,USDA
320245,"Milk, 2%",,,,,USDA
320246,"Milk, 2%",,,,,USDA
320247,"Milk, 2%",,,,,USDA
320248,"Milk, 2%",,,,,USDA
320249,"Milk, 2%",,,,,USDA
320250,"Milk, 2%",,,,,USDA
320251,"MILK, 2% (WAVE 22E)",,,,,USDA
320252,"MILK, 2% (WAVE 22E)",,,,,USDA
320253,"MILK, 2% (WAVE 22E)",,,,,USDA
320254,"MILK, 2% (WAVE 22E)",,,,,USDA
320255,"MILK, 2% ",,,,,USDA
